"","EMTP","EMSECSM","WAPRSM3","WASCSM3","RACETHM","EMST_TOGA","SEX_2023","DGRDG","HDADV","HDCAR","HDCHG","HDEM","HDGRD","HDINT","HDOT","HDSKL","NDGMENG","NDGMEMG","HDCRN21C","EDDAD","EDMOM","N2DGRMED","FACADV","FACBEN","FACCHAL","FACIND","FACLOC","FACRESP","FACSAL","FACSEC","FACSOC","N3OCPRNG","N2OCPRMG","Years_To_First_Job","AGE","WKSWK","HRSWK","SALARY"
"1","11","3","3","6","5","85","F","2","L","L","L","L","L","L","L","L","76","7","18","4","2","766900","1","1","2","1","1","2","1","1","1","62","6","8",30,52,40,87500
"2","10","3","3","3","5","90","M","1","L","L","L","L","L","L","L","L","56","5","16","3","3","567350","2","1","1","1","2","1","1","1","2","78","7","4",25,52,50,77000
"3","10","3","3","1","4","92","F","1","L","L","L","L","L","L","L","L","52","5","15","4","4","527250","2","1","2","2","2","2","1","1","2","57","5","3",25,52,40,87500
"4","10","3","5","1","1","93","M","2","L","L","L","L","L","L","L","L","54","5","15","2","2","547280","1","1","1","1","1","1","1","1","2","54","5","10",33,52,40,160000
"5","12","3","6","7","5","98","F","2","L","L","L","L","L","L","L","L","22","2","16","4","5","226380","1","1","1","1","1","1","1","1","1","61","6","4",29,52,35,70000
"6","10","3","1","1","5","97","M","2","N","N","Y","N","N","N","N","N","54","5","15","2","3","547280","2","1","1","1","1","2","1","2","2","64","6","6",29,52,40,90000
"7","10","3","1","6","5","92","F","2","L","L","L","L","L","L","L","L","57","5","15","3","2","577240","1","1","1","1","2","1","1","1","2","54","5","4",34,52,30,150000
"8","05","1","1","1","1","85","M","1","L","L","L","L","L","L","L","L","22","2","15","4","4","226340","1","1","2","2","2","2","1","1","1","22","2","0",27,52,50,44000
"9","13","3","1","5","1","92","F","1","L","L","L","L","L","L","L","L","41","4","21","3","3","419230","2","1","2","2","3","3","1","2","2","72","7","5",34,52,40,110000
"10","10","3","3","4","5","87","M","1","L","L","L","L","L","L","L","L","56","5","15","7","4","567350","1","1","2","1","2","2","1","2","1","56","5","1",34,52,50,102000
"11","10","3","4","5","1","93","M","2","L","L","L","L","L","L","L","L","54","5","15","4","1","547280","1","1","1","1","2","1","1","1","2","54","5","9",32,52,40,200000
"12","10","3","1","3","5","97","M","2","L","L","L","L","L","L","L","L","76","7","15","5","2","768300","2","1","2","2","2","2","1","1","2","72","7","6",33,52,40,115000
"13","11","3","6","3","5","87","F","1","L","L","L","L","L","L","L","L","61","6","17","2","2","617870","1","1","1","1","1","1","1","1","1","61","6","5",32,52,40,80412
"14","14","2","2","1","7","93","M","1","L","L","L","L","L","L","L","L","75","7","18","3","4","759260","1","1","2","2","1","2","1","1","1","78","7","2",20,52,40,52000
"15","10","3","3","3","3","97","F","2","L","L","L","L","L","L","L","L","76","7","16","5","4","766610","1","1","1","1","1","1","1","1","3","76","7","10",35,52,45,200000
"16","10","3","4","3","5","98","M","2","L","L","L","L","L","L","L","L","11","1","L","2","1","116730","1","1","1","1","2","1","1","1","1","62","6","3",34,52,40,131000
"17","03","1","4","1","5","93","M","1","L","L","L","L","L","L","L","L","54","5","17","3","4","547270","2","1","2","1","1","2","1","1","1","11","1","2",27,52,40,130858
"18","01","1","6","3","3","93","F","1","L","L","L","L","L","L","L","L","61","6","26","5","5","617870","1","1","1","1","1","1","1","1","1","61","6","5",25,52,36,88000
"19","10","3","1","1","1","93","M","2","L","L","L","L","L","L","L","L","11","1","L","1","1","116730","2","1","2","1","1","3","1","1","2","11","1","10",33,52,40,160000
"20","10","3","6","3","4","98","F","1","L","L","L","L","L","L","L","L","22","2","22","1","1","226320","1","1","2","2","2","1","1","1","1","61","6","1",25,52,10,6000
"21","10","3","3","6","5","98","M","2","L","L","L","L","L","L","L","L","71","7","15","4","4","716530","1","1","1","2","1","2","1","2","2","71","7","8",34,52,50,180000
"22","03","1","6","3","4","93","F","2","L","L","L","L","L","L","L","L","72","7","15","3","2","727130","2","1","2","1","2","2","1","1","1","75","7","3",34,52,40,57500
"23","10","3","4","6","5","97","M","2","L","L","L","L","L","L","L","L","42","4","15","3","3","429270","2","1","2","3","2","3","1","2","2","11","1","5",27,52,40,85000
"24","17","2","1","1","1","87","M","3","L","L","L","L","L","L","L","L","51","5","15","2","2","517210","2","1","2","1","1","2","1","1","1","51","5","6",30,52,40,80000
"25","10","3","6","1","5","91","F","1","L","L","L","L","L","L","L","L","57","5","15","4","7","577240","2","1","2","2","3","2","1","1","2","64","6","0",23,52,44,59000
"26","10","3","3","1","5","98","M","2","L","L","L","L","L","L","L","L","71","7","15","2","2","716020","1","1","2","1","1","2","1","2","3","76","7","3",25,52,35,137000
"27","10","3","1","4","5","98","M","3","Y","Y","N","N","N","Y","N","Y","71","7","15","4","4","716570","1","1","1","1","1","1","1","1","1","72","7","8",32,52,40,164000
"28","10","3","1","5","5","87","M","3","L","L","L","L","L","L","L","L","21","2","L","1","1","216050","2","1","1","1","2","2","1","1","2","64","6","10",32,52,45,115000
"29","10","3","2","6","5","98","F","2","L","L","L","L","L","L","L","L","43","4","17","3","1","438970","1","1","2","2","1","1","2","2","1","75","7","7",33,52,32,40000
"30","14","2","6","7","5","98","M","2","L","L","L","L","L","L","L","L","76","7","16","2","4","766900","1","1","2","1","2","1","1","2","1","78","7","2",24,52,50,67000
"31","10","3","1","5","1","97","M","3","L","L","L","L","L","L","L","L","33","3","15","4","4","338710","1","1","1","1","2","2","1","1","2","71","7","6",35,52,40,400000
"32","10","3","5","1","4","93","M","1","L","L","L","L","L","L","L","L","56","5","18","2","2","567350","2","1","1","2","1","2","1","1","1","56","5","4",25,52,40,108000
"33","10","3","6","7","4","96","F","2","L","L","L","L","L","L","L","L","22","2","M","5","5","226380","2","1","2","2","1","2","1","1","1","61","6","3",32,52,37,54000
"34","11","3","1","1","4","98","F","1","L","L","L","L","L","L","L","L","22","2","15","5","4","226370","1","2","1","1","3","1","1","1","1","22","2","4",26,52,40,57000
"35","10","3","4","7","1","92","M","2","L","L","L","L","L","L","L","L","11","1","15","4","4","116730","1","1","1","1","1","1","1","1","2","11","1","3",29,52,40,140000
"36","05","1","3","1","5","97","F","3","L","L","L","L","L","L","L","L","22","2","M","2","3","226360","1","1","1","1","1","1","1","1","1","64","6","7",30,52,35,79000
"37","10","3","1","3","5","88","F","2","L","L","L","L","L","L","L","L","61","6","15","3","4","617900","2","1","2","1","1","2","2","1","1","12","1","4",27,52,45,85000
"38","10","3","3","5","4","92","F","2","L","L","L","L","L","L","L","L","53","5","15","1","3","537260","1","1","2","2","2","1","1","1","1","53","5","6",29,52,40,84000
"39","10","3","4","1","3","97","M","2","L","L","L","L","L","L","L","L","54","5","15","2","2","547280","1","1","1","1","1","1","1","1","2","11","1","1",23,52,40,180000
"40","15","2","3","5","5","92","M","1","L","L","L","L","L","L","L","L","53","5","16","4","3","537260","2","2","1","1","2","2","1","1","3","53","5","1",24,52,40,61000
"41","11","3","6","3","4","98","M","2","L","L","L","L","L","L","L","L","61","6","15","3","2","617910","3","1","2","1","1","2","1","1","2","33","3","4",31,52,45,180000
"42","10","3","4","1","5","85","M","3","N","Y","N","N","Y","Y","N","Y","11","1","15","4","3","116730","3","1","1","1","1","2","2","2","1","11","1","6",29,52,40,324000
"43","10","3","4","3","1","93","F","1","L","L","L","L","L","L","L","L","11","1","17","5","4","116730","1","1","1","1","1","1","1","1","1","11","1","0",29,52,42,187200
"44","10","3","4","1","1","97","F","2","L","L","L","L","L","L","L","L","63","6","16","4","3","636750","1","1","1","1","1","1","1","1","1","11","1","8",28,52,40,90000
"45","10","3","4","3","1","93","M","2","L","L","L","L","L","L","L","L","57","5","15","7","5","577240","1","1","1","1","1","3","1","1","1","11","1","4",28,52,40,92000
"46","13","3","1","1","5","85","F","1","L","L","L","L","L","L","L","L","22","2","18","1","3","226420","1","1","2","1","1","2","1","1","2","22","2","5",34,52,8,86000
"47","10","3","5","7","7","91","F","1","L","L","L","L","L","L","L","L","52","5","15","7","5","527250","2","2","1","1","2","2","2","2","2","51","5","5",28,52,40,82000
"48","17","2","6","3","7","93","F","1","L","L","L","L","L","L","L","L","56","5","15","3","4","567350","1","2","1","2","1","2","2","1","1","56","5","0",32,52,45,120869
"49","11","3","3","3","5","98","F","2","L","L","L","L","L","L","L","L","76","7","17","2","3","766900","1","3","2","1","1","2","1","2","2","71","7","7",27,52,48,62000
"50","10","3","3","1","5","93","F","1","L","L","L","L","L","L","L","L","11","1","L","4","4","116730","1","1","1","1","1","1","1","1","1","76","7","3",32,52,40,150000
"51","03","1","1","3","5","87","F","1","L","L","L","L","L","L","L","L","22","2","15","4","4","226370","1","1","1","2","1","2","1","1","2","22","2","0",23,52,50,30000
"52","17","2","1","1","1","85","F","2","L","L","L","L","L","L","L","L","12","1","15","2","1","128420","1","1","1","2","1","2","1","1","2","65","6","8",31,52,40,130000
"53","10","3","6","5","1","97","M","1","L","L","L","L","L","L","L","L","71","7","15","7","5","716570","2","3","2","3","2","3","1","3","3","72","7","3",33,52,40,70000
"54","10","3","4","1","1","93","M","1","L","L","L","L","L","L","L","L","42","4","15","4","4","429280","1","1","1","1","1","3","1","1","2","12","1","4",28,52,30,150000
"55","10","3","4","6","1","93","M","2","L","L","L","L","L","L","L","L","54","5","15","5","5","547270","1","2","1","2","1","2","1","1","3","11","1","6",30,52,48,229000
"56","10","3","4","5","3","97","M","2","L","L","L","L","L","L","L","L","11","1","16","4","5","116730","2","1","1","1","2","2","1","3","3","11","1","7",32,52,45,320000
"57","10","3","1","1","5","92","M","1","L","L","L","L","L","L","L","L","31","3","15","2","2","318730","2","1","1","1","1","1","1","1","1","31","3","0",33,52,42,120000
"58","10","3","3","5","1","93","M","1","L","L","L","L","L","L","L","L","43","4","15","5","5","438940","1","1","1","1","1","1","1","1","2","54","5","4",31,52,40,120000
"59","10","3","5","1","1","98","M","2","L","L","L","L","L","L","L","L","22","2","15","5","5","226420","1","1","1","1","2","1","1","1","1","22","2","6",29,52,40,100000
"60","15","2","5","1","5","92","F","1","L","L","L","L","L","L","L","L","71","7","15","5","5","716530","1","1","1","1","1","2","2","1","1","11","1","5",35,52,40,68000
"61","10","3","5","4","5","98","M","2","L","L","L","L","L","L","L","L","52","5","15","5","4","527250","1","1","1","1","1","1","1","1","1","52","5","4",28,52,50,125000
"62","10","3","4","7","5","98","M","2","L","L","L","L","L","L","L","L","11","1","17","2","2","116770","1","1","1","1","1","2","1","1","3","11","1","6",31,52,40,127000
"63","13","3","6","1","5","92","F","2","L","L","L","L","L","L","L","L","61","6","25","2","2","617860","3","2","2","2","1","2","2","2","2","61","6","8",35,52,8,15000
"64","10","3","4","5","5","92","M","1","L","L","L","L","L","L","L","L","12","1","15","4","5","128420","3","1","2","3","2","3","1","2","2","11","1","5",31,52,40,136900
"65","10","3","3","7","3","97","M","2","L","L","L","L","L","L","L","L","55","5","15","3","8","557330","1","1","1","1","1","1","1","1","3","57","5","8",27,52,20,69000
"66","10","3","5","3","5","87","M","1","L","L","L","L","L","L","L","L","54","5","20","5","4","547280","2","2","2","2","1","2","2","2","2","54","5","0",32,52,41,90000
"67","10","3","6","3","5","97","M","1","L","L","L","L","L","L","L","L","11","1","15","5","4","116730","1","1","1","1","1","1","1","1","1","72","7","2",27,52,65,150000
"68","10","3","3","3","5","85","M","1","L","L","L","L","L","L","L","L","56","5","15","2","3","567350","1","1","1","1","1","2","1","2","2","71","7","3",35,52,50,976934
"69","10","3","4","7","1","90","F","2","L","L","L","L","L","L","L","L","11","1","18","4","1","116760","2","1","3","2","1","3","1","1","4","11","1","9",30,52,40,120000
"70","10","3","5","1","1","87","M","2","L","L","L","L","L","L","L","L","71","7","15","3","3","716020","2","2","2","2","2","2","2","2","2","56","5","2",29,52,40,80538
"71","11","3","3","3","4","92","F","1","L","L","L","L","L","L","L","L","76","7","15","1","1","768000","1","1","1","1","1","1","1","1","1","78","7","2",29,52,40,55000
"72","10","3","5","6","5","97","F","2","L","L","L","L","L","L","L","L","56","5","16","4","3","567350","2","1","2","2","1","2","1","1","2","52","5","4",30,52,40,103000
"73","03","1","1","4","5","85","M","1","L","L","L","L","L","L","L","L","57","5","15","7","5","577390","1","2","1","2","1","3","2","2","3","33","3","0",24,52,40,38000
